scheme,B,trial,time_ns
PPS-GC,32,61,401746
PPS-GC,32,62,421191
PPS-GC,32,63,399251
PPS-GC,32,64,401585
PPS-GC,32,65,399312
PPS-GC,32,66,557736
PPS-GC,32,67,399301
PPS-GC,32,68,406014
PPS-GC,32,69,419158
PPS-GC,32,70,462148
PPS-GC,32,71,648804
PPS-GC,32,72,424608
PPS-GC,32,73,471365
PPS-GC,32,74,418057
PPS-GC,32,75,431551
PPS-GC,32,76,424057
PPS-GC,32,77,432913
PPS-GC,32,78,440709
PPS-GC,32,79,436780
PPS-GC,32,80,433044
PPS-GC,32,81,439316
PPS-GC,32,82,901654
PPS-GC,32,83,684000
PPS-GC,32,84,716089
PPS-GC,32,85,925779
PPS-GC,32,86,804023
PPS-GC,32,87,705018
PPS-GC,32,88,477817
PPS-GC,32,89,481494
PPS-GC,32,90,481113
PPS-GC,32,91,497494
PPS-GC,32,92,493546
PPS-GC,32,93,522110
PPS-GC,32,94,461777
PPS-GC,32,95,436480
PPS-GC,32,96,426953
PPS-GC,32,97,541936
PPS-GC,32,98,543519
PPS-GC,32,99,441239
PPS-GC,100,0,1865823
PPS-GC,100,1,1576407
PPS-GC,100,2,960443
PPS-GC,100,3,1628593
PPS-GC,100,4,962176
PPS-GC,100,5,960593
PPS-GC,100,6,960473
PPS-GC,100,7,1015636
PPS-GC,100,8,990088
PPS-GC,100,9,1027117
PPS-GC,100,10,1058004
PPS-GC,100,11,1530742
PPS-GC,100,12,985099
PPS-GC,100,13,1016036
PPS-GC,100,14,1043197
PPS-GC,100,15,1630768
PPS-GC,100,16,1014283
PPS-GC,100,17,973677
PPS-GC,100,18,963118
PPS-GC,100,19,960653
PPS-GC,100,20,967997
PPS-GC,100,21,960252
PPS-GC,100,22,961314
PPS-GC,100,23,1006769
PPS-GC,100,24,969820
PPS-GC,100,25,1528457
PPS-GC,100,26,971584
PPS-GC,100,27,1445293
PPS-GC,100,28,961975
PPS-GC,100,29,960383
PPS-GC,100,30,991290
PPS-GC,100,31,987052
PPS-GC,100,32,1026927
PPS-GC,100,33,1464429
PPS-GC,100,34,1001318
PPS-GC,100,35,960282
PPS-GC,100,36,960253
PPS-GC,100,37,984377
PPS-GC,100,38,1015215
PPS-GC,100,39,970933
PPS-GC,100,40,979298
PPS-GC,100,41,1008462
PPS-GC,100,42,1003664
PPS-GC,100,43,985540
PPS-GC,100,44,961095
PPS-GC,100,45,1269166
PPS-GC,100,46,961024
PPS-GC,100,47,975601
PPS-GC,100,48,1039420
PPS-GC,100,49,987183
PPS-GC,100,50,1945071
PPS-GC,100,51,960634
PPS-GC,100,52,960533
PPS-GC,100,53,1637509
PPS-GC,100,54,1390351
PPS-GC,100,55,961676
PPS-GC,100,56,961174
PPS-GC,100,57,993174
PPS-GC,100,58,984027
PPS-GC,100,59,988645
PPS-GC,100,60,1027938
PPS-GC,100,61,999586
PPS-GC,100,62,1039510
PPS-GC,100,63,970572
PPS-GC,100,64,2168625
PPS-GC,100,65,977245
PPS-GC,100,66,974720
